table,roll,name,new_page,confidence,reason
P,416-417,of Protection II,471,high,Type Figureheads; index 'Figurehead | of Protection' = 471. Current 1009 was Aba head.
P,423-424,of Wondrous Power (Speed),472,high,Type Figureheads; candidate figurehead 472 matches 'Figurehead of Wondrous Power'. Current 210.
P,643-644,Diamond and Silver,737,high,Type Mobiles; 'Diamond | and Silver Mobile' = 737. Current 676.
P,647-649,Ruby Turquoise and Emerald,737,high,Type Mobiles; 'Ruby | Turquoise and Emerald Mobile' = 737 (1121 was Ruby Slippers). Current 1121.
P,666-667,Blue of Greyhawk,782,high,Type Oracles; 'Oracle of Greyhawk' = 782 (single entry covers all colors). Current 101.
P,672-674,Orange of Greyhawk,782,high,Type Oracles; 'Oracle of Greyhawk' = 782 (912 was Prism). Current 912.
P,677-678,Violet of Greyhawk,782,high,Type Oracles; 'Oracle of Greyhawk' = 782 (912 was Prism). Current 912.
P,684-685,of the Black Swamp,783,high,Type Orbs; 'Orb of the Black Swamp' = 783. Current 675.
P,861-862,Standing Stone,1302,med,Heads 'standing'/'stones' at 1302 match name; current 356 wrong.
P,877-878,Singing II,1305,high,Type Statues -> head 'statue' 1305 (over potion/skull/sword).
Q,776-795,Robe of Blending II,1010,med,Name Robe of Blending -> heads robe/blending both at 1010; current 838 wrong.
Q,796-816,Robe of Blending,1010,med,Heads robe/blending at 1010 match name; current 838 wrong.
R3,73-78,Aquatic,70,med,R3 armor table -> head 'armor' 70 (Aquatic Armor); current 1508 weapon wrong.
R3,104-109,of Blackflame,72,med,R3 armor table -> head 'armor' 72 over cloak/dagger/sword; current 357 dagger.
R3,110-115,of Blending,72,high,Table R3 Armor. Candidate head 'armor' page 72 matches armor section; current 838 (potion) wrong.
R3,134-139,of Charm,72,high,Table R3 Armor. Head 'armor' page 72 matches; current 281 wrong.
R3,140-145,of Comfort,72,high,Table R3 Armor. Head 'armor' page 72 matches; current 173 (blanket) wrong.
R3,146-151,of Command,73,high,Table R3 Armor. Head 'armor' page 73 matches; current 1275 (staff) wrong.
R3,213-218,of Energy Drain,74,high,Table R3 Armor. Head 'armor' page 74 matches; current 1095 (shield) wrong for armor entry.
R3,273-278,of Fear II,76,high,Type Armor; fuzzy 'of fear' same item; head 'armor' page 76 matches armor section; current 728 (mirror) wrong.
R3,431-436,Red of the Hellfurnaces,81,high,Type Armor; candidate 'hellfurnaces red armor of the' page 81 and head 'armor' 81 match; current 303 (cloak) wrong.
R3,534-539,White of the Griff Mountains,83,high,Type Armor; fuzzy 'white armor of the griff mountains' same item; head 'white' page 83 matches armor section; current 1105 (shield) wrong.
R3,806-812,of the Holy,1098,med,"Type Shield; both candidates head 'shield' (1098, 1102). Choosing 1098 as first shield entry; current 1505 wrong."
R3,903-909,of Proof against Cold,1101,high,Type Shield; fuzzy 'shield of proof against cold' same item; head 'shield' page 1101 matches; current 1476 wrong.
R3,928-933,Raji's of the Holy,1102,high,Type Shield; fuzzy 'raji s shield of the holy' same item; head '' page 1102 (shield section); current 1505 wrong.
S3,11,Black of Iuz,85,high,Type Arrows; fuzzy 'black of luz' same item (OCR Iuz/luz); sole head 'arrow' page 85 matches; current 675 wrong.
S3,19,of Charming II,86,high,Type Arrows; fuzzy 'of charming' same item; head 'arrow' page 86 matches; current 1321 (biwa) wrong.
S3,47,of Holding II,90,high,Type Arrows; fuzzy 'of holding' same item; head 'arrow' page 90 matches; current 1514 (weapon) wrong.
S3,76,Quarrel of Biting (Poison),95,high,Type Arrows; fuzzy 'quarrel of biting' same item; head 'arrow' page 95 matches; current 151 wrong.
S3,85,of Seeking,96,high,"Type Arrows; heads 'arrow' at 96 and 97, best fits arrow section; choosing first arrow entry 96; current 374 (dart) wrong."
S3,92,of Slaying,97,med,"Arrows type -> head 'arrow' (pages 97,99). Current 375 is 'dart' head, wrong. Arrow of Slaying; picking 97."
S3,93,of Slaying II,97,med,Arrows -> 'arrow' head; fuzzy 'of slaying' same item. Choose arrow page 97 over 'dart' 375.
S3,94,of Slaying III,97,med,Arrows -> 'arrow' head; same item as of Slaying. Choose arrow page 97.
S3,95,of Slaying IV,97,med,Arrows -> 'arrow' head; same item. Choose arrow page 97.
S3,173,Crossbow of Speed II,204,high,"Bows type, name Crossbow -> head 'crossbow' at 204 (also 'speed' head lists 204). Choose 204."
S3,256,Flying,362,med,"Daggers type -> head 'dagger' (362,363). Dagger of Flying; 'banner' 155 is unrelated. Picking dagger 362."
S3,267,Hornblade (Dagger size),364,high,Daggers type -> head 'dagger'; fuzzy 'hornblade dagger' matches Hornblade at 364.
S3,270,Iyarim's Flying,364,med,Daggers type -> head 'dagger' 364; fuzzy 'iyanm s flying' OCR variant of Iyarim's Flying dagger. Choose 364.
S3,297,of Throwing II,369,high,Daggers type -> head 'dagger' 369 (Dagger of Throwing); fuzzy 'of throwing' same item. Current 120 wrong.
S3,315,Death,372,med,"Darts type -> head 'dart' (372,373). Dart of Death; other heads (mask/nail/rock) unrelated. Picking dart 372."
S3,416,Hastsezini's Lance of,648,high,Lances type; fuzzy 'hastezzini s lance of fire' -> heads 'fire'/'hastezzini s' both 648. Choose 648. Current 650 wrong.
S3,464,of the Titans,556,med,Mattocks type but name 'of the Titans'; fuzzy 'maul of the titans' -> head 'titans' 556 (matches roll 373 Maul of the Titans). 'sword' 1372 and 'match' unrelated. Choose 556. Current 99 wrong.
S3,467,of Entrapment,755,med,"Nets type -> head 'net' (755,756). Net of Entrapment; other heads (cage/rod/scepter) are different items. Picking net 755. Current 234 is 'cage' head, wrong."
S3,470,Hiatea's of Weakness,756,high,Nets type -> head 'weakness' 756 (Net of Weakness); fuzzy 'hiata s net of weakness' same item. Choose 756. Current 1006 wrong.
S3,472,Hiatea's of Petrification,756,high,Nets type -> head 'petrification' at net page 756 (not 'lens' 654). Fuzzy 'hiatea s net of petrification' same item. Choose 756.
S3,498,Fork of Travel,842,high,Polearm/fork -> weapon section; 'travel' head at 842 fits vs 493 (other item).
S3,503,Persana's Trident,842,high,Trident -> head 'trident' 842; blank 38 is unrelated.
S3,508,Saw-Toothed Glaive,844,med,"Glaive is a polearm in weapon section ~844, not 181."
S3,532,Elmarin Cannon Call (Dust),1112,high,Both candidates 1112; fuzzy 'elmarin cannon call' same item (shot variant).
S3,552,of Seeking,1120,med,"Type Slings -> head 'sling'; weapon section entry at 1120 vs earlier 358, over arrow/dart heads."
S3,671-672,of Dancing,1355,high,"Sword of Dancing; head 'sword' fits weapon table S3. Current 465 (fan) wrong; two sword pages 1355/1356, pick first."
S3,699,Elven,1365,high,Elven sword; head 'sword' 1365. Current 74 (chainmail) wrong for a sword table item.
S3,749,Genie Slayer,1371,high,"Fuzzy 'genie slave' under head 'sword' 1371 - OCR variant, same item. Current 847 wrong."
S3,761,Githyanki Knight's Silver,1372,high,Fuzzy 'githyanki knight s silver sword' 1372 - same item. Current 285/286 wrong.
S3,762,Githyanki Leader's Silver,1372,high,Fuzzy 'githyanki leader s silver sword' 1372 - same item. Current 325 wrong.
S3,882,Ren's of Dancing,1388,high,Fuzzy 'ren s sword of dancing' under head 'dancing' 1388 - same item. Current 465 wrong.
S3,887,Rutterkin Flatchet,1389,high,Fuzzy 'rutterkin flatchet sword' under head 'rutterkin' 1389 - same item. Current 843 wrong.
S3,965,Warbringer,1412,high,Fuzzy 'war bringer'/'bringer' both 1412 - same item. Current 1482 wrong.
S3,986,of Returning,1523,med,Throwing star = a weapon; candidate head 'weapon' at 1523 fits best over arrow/bag/gem/quiver. Current 527 (gem) wrong.
T,112-117,Codex of the Infinite Planes II,659,med,Name leads with 'Codex'; head 'codex' at 659 (also 'planes' 659); libram variant at 660. Codex headword fits best.
T,189-194,Crystal of the Ebon Flame II,342,high,Fuzzy 'crystal of the ebon flame' same item; heads crystal/earth/flame all at 342. Current 784 wrong.
T,206-211,Death Rock,1019,high,Heads 'rock' (1019) and 'death' (1019/1020); rock headword and lead page = 1019. Current 1478 wrong.
T,224-229,Egg of the Phoenix II,436,high,Fuzzy 'egg of the phoenix' same item; name leads with 'egg'; head 'egg' at 436/437; pick 436.
T,230-235,Eye of Vecna II,460,high,Fuzzy 'eye of vecna' same item; heads eye/vecna both at 460. Current 451 wrong.
T,265-270,Golden Circlet II,291,med,Fuzzy 'golden circlet' same item; heads circlet/golden at 291/292; pick lead 291.
T,359-364,Iron Bow of Gesen II,207,high,Fuzzy 'iron bow of gesen' same item; blank and head 'iron' at 207. Current 205 wrong.
T,406-411,Mace of St. Cuthbert IV,679,med,Fuzzy same item; blanks (artifact entry) at 679/680 and head 'mace' at 679 (other mace entry 670). Entry page 679.
T,612-617,Peaceful Periapt of Pax,822,med,fuzzy 'peaceful peragil of pax' is OCR variant of same item; single candidate 822 (current 825 slightly off)
T,641-646,Queen Ehlissa's Nightingale II,923,high,fuzzy same item; both candidate heads at 923
T,747-752,Rod of Seven Parts,1038,high,"head 'rod' fits; pages 1038/1039, pick first 1038 (current 1021 wrong)"
T,753-758,Rod of Seven Parts II,1038,high,"fuzzy same item; head 'rod' at 1038/1039, pick first 1038"
T,883-887,Sword of Kas II,1378,high,fuzzy 'sword of kas' same item; blank and 'sword' heads both at 1378 (current 1387 wrong)
T,918-923,Throne of the Gods II,1432,high,fuzzy 'throne of the gods' same item; 'gods' and 'throne' heads both at 1432 (current 1439 wrong)
T,935-940,Tooth of Dalhvar-nar II,1446,high,fuzzy 'tooth of dahlver nar' same item; blank and 'tooth' heads both at 1446
T,941-946,Tree of Life,1455,high,"head 'life' fits Tree of Life; pages 1455/1456, pick first 1455 (current 905 wrong)"
T,947-952,Tree of Life II,1455,high,"fuzzy same item; head 'life' at 1455/1456, pick first 1455"
